epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
67,1768.31,0.64703,1.21125,0.625,0.9798,0,0.92915,0.72891,0.79469,0.63665,0.90619,0.70968,0.77484,0.6011,0.63027,1.32475,0.63043,0.927,0,0.00056788,0.00056788,0.00056788
68,1795.15,0.64351,1.22076,0.62608,0.97728,0,0.94733,0.72755,0.79835,0.64833,0.90155,0.72385,0.79404,0.59945,0.60806,1.31185,0.63321,0.90602,0,0.000551227,0.000551227,0.000551227
69,1821.98,0.65128,1.16902,0.63026,0.96749,0,0.90792,0.71961,0.7901,0.64776,0.83946,0.75333,0.78859,0.60913,0.62078,1.30124,0.6125,0.93105,0,0.000534574,0.000534574,0.000534574
70,1848.32,0.63363,1.18056,0.60362,0.96778,0,0.94381,0.71503,0.79407,0.65601,0.91074,0.72174,0.79163,0.6125,0.58477,1.28484,0.6153,0.91013,0,0.00051792,0.00051792,0.00051792
71,1875.93,0.63947,1.18382,0.61391,0.97347,0,0.90641,0.70629,0.78073,0.61918,0.90119,0.70294,0.77411,0.60155,0.64065,1.35983,0.6608,0.93316,0,0.000501267,0.000501267,0.000501267
72,1900.99,0.63733,1.19546,0.6226,0.96847,0,0.92897,0.69703,0.79079,0.64113,0.9139,0.69403,0.78242,0.60947,0.59366,1.28786,0.66786,0.8938,0,0.000484614,0.000484614,0.000484614
73,1926.78,0.63454,1.2004,0.61915,0.96701,0,0.91698,0.70374,0.7872,0.65703,0.90641,0.70123,0.78303,0.6132,0.59081,1.31152,0.63302,0.90009,0,0.00046796,0.00046796,0.00046796
74,1953.41,0.62306,1.16955,0.60403,0.95864,0,0.94643,0.69981,0.78725,0.62712,0.92891,0.68394,0.76253,0.59813,0.67126,1.4345,0.63278,0.94859,0,0.000451307,0.000451307,0.000451307
75,1979.61,0.63109,1.17484,0.60666,0.96731,0,0.85668,0.74984,0.78277,0.63765,0.8479,0.74313,0.77328,0.6047,0.6092,1.37626,0.67821,0.89564,0,0.000434654,0.000434654,0.000434654
76,2005.29,0.62382,1.15401,0.60415,0.96273,0,0.94227,0.7129,0.78784,0.64358,0.91613,0.70852,0.78144,0.61151,0.6127,1.29821,0.63739,0.91458,0,0.000418,0.000418,0.000418
77,2031.59,0.63001,1.16029,0.61119,0.96899,0,0.88966,0.72419,0.78164,0.63009,0.86608,0.72084,0.77654,0.60327,0.60919,1.28285,0.66302,0.90404,0,0.000401347,0.000401347,0.000401347
78,2057.03,0.61861,1.17197,0.60231,0.96201,0,0.94311,0.71999,0.79664,0.65498,0.92538,0.71029,0.7852,0.6212,0.61201,1.23605,0.62232,0.90737,0,0.000384694,0.000384694,0.000384694
79,2083.73,0.62034,1.1915,0.59618,0.96226,0,0.90171,0.72084,0.79047,0.64591,0.8713,0.70361,0.77206,0.6074,0.606,1.30017,0.62317,0.9213,0,0.00036804,0.00036804,0.00036804
80,2110.78,0.61551,1.16437,0.59505,0.95406,0,0.89131,0.7208,0.79083,0.65329,0.85909,0.72755,0.78361,0.61833,0.61022,1.30722,0.61704,0.91111,0,0.000351387,0.000351387,0.000351387
81,2137.41,0.60253,1.12884,0.58608,0.95571,0,0.93167,0.72538,0.79523,0.66083,0.9167,0.7129,0.7841,0.62098,0.62314,1.27618,0.60207,0.92753,0,0.000334734,0.000334734,0.000334734
82,2162.57,0.61369,1.1366,0.58099,0.95922,0,0.92479,0.73426,0.79479,0.65054,0.91667,0.7309,0.7871,0.61525,0.62659,1.3362,0.59741,0.93483,0,0.00031808,0.00031808,0.00031808
83,2188.88,0.604,1.14541,0.58316,0.95588,0,0.94293,0.71382,0.79409,0.65084,0.90687,0.73279,0.79305,0.62926,0.62049,1.22628,0.60301,0.91874,0,0.000301427,0.000301427,0.000301427
84,2215.57,0.61129,1.14968,0.58786,0.95643,0,0.91902,0.72887,0.79184,0.64815,0.91994,0.73107,0.78852,0.61713,0.62748,1.26143,0.60843,0.92612,0,0.000284774,0.000284774,0.000284774
85,2240.82,0.60131,1.14285,0.58249,0.94997,0,0.90208,0.71167,0.78241,0.64654,0.89386,0.71045,0.7786,0.61838,0.61013,1.26684,0.63578,0.92895,0,0.00026812,0.00026812,0.00026812
86,2267.74,0.59673,1.14861,0.5814,0.95605,0,0.93285,0.72189,0.79074,0.6578,0.91397,0.72823,0.78895,0.61856,0.59342,1.28348,0.59098,0.92349,0,0.000251467,0.000251467,0.000251467
87,2294.02,0.5958,1.13244,0.57638,0.94968,0,0.92234,0.72419,0.79353,0.65184,0.91299,0.72147,0.78897,0.61951,0.5957,1.25956,0.6147,0.91307,0,0.000234814,0.000234814,0.000234814
88,2319.77,0.59817,1.1233,0.57141,0.95098,0,0.90456,0.72968,0.79334,0.65285,0.89844,0.72174,0.78342,0.61838,0.58498,1.27111,0.61133,0.90791,0,0.00021816,0.00021816,0.00021816
89,2346.12,0.59575,1.11103,0.57532,0.95193,0,0.93111,0.72968,0.79515,0.65149,0.91988,0.72261,0.78774,0.61849,0.58609,1.26647,0.61859,0.91313,0,0.000201507,0.000201507,0.000201507
90,2372.94,0.58393,1.1187,0.56488,0.94486,0,0.94959,0.71961,0.7899,0.64387,0.93692,0.7129,0.77934,0.61671,0.5845,1.24526,0.64168,0.89872,0,0.000184854,0.000184854,0.000184854
91,2400.41,0.55023,1.06346,0.54209,0.94645,0,0.87916,0.74097,0.78511,0.64466,0.86061,0.73762,0.78082,0.60972,0.60087,1.26231,0.62588,0.91594,0,0.0001682,0.0001682,0.0001682
92,2424.66,0.56086,1.07553,0.52957,0.94048,0,0.94471,0.72069,0.78835,0.64817,0.94297,0.72079,0.79005,0.61631,0.60153,1.26353,0.61654,0.9175,0,0.000151547,0.000151547,0.000151547
93,2448,0.54205,1.03766,0.51856,0.93236,0,0.93326,0.72229,0.78806,0.64883,0.92732,0.71922,0.78544,0.61413,0.59886,1.27913,0.62434,0.9148,0,0.000134894,0.000134894,0.000134894
94,2472.04,0.53967,1.04534,0.51441,0.9296,0,0.91857,0.71626,0.78806,0.64518,0.92621,0.70619,0.78168,0.61041,0.61848,1.26268,0.62132,0.94362,0,0.00011824,0.00011824,0.00011824
95,2495.63,0.53687,1.05488,0.50863,0.92694,0,0.94883,0.73546,0.79453,0.6484,0.92547,0.73213,0.78771,0.61821,0.59418,1.2623,0.61443,0.92107,0,0.000101587,0.000101587,0.000101587
96,2519.38,0.54509,1.05897,0.51512,0.93744,0,0.9347,0.7309,0.79125,0.64385,0.9213,0.73526,0.79013,0.62305,0.61212,1.26848,0.61359,0.93111,0,8.49337e-05,8.49337e-05,8.49337e-05
97,2544.2,0.53452,1.03592,0.51134,0.93261,0,0.93594,0.72632,0.79763,0.65355,0.91928,0.72755,0.79184,0.62577,0.59433,1.25036,0.60222,0.92535,0,6.82803e-05,6.82803e-05,6.82803e-05
98,2568.05,0.53253,1.024,0.50837,0.92915,0,0.94327,0.72552,0.79262,0.65529,0.92433,0.72472,0.78694,0.62286,0.58467,1.25916,0.62063,0.91156,0,5.1627e-05,5.1627e-05,5.1627e-05
99,2592.68,0.52339,1.03055,0.50778,0.92928,0,0.95949,0.7309,0.79375,0.6545,0.95001,0.72755,0.78954,0.62147,0.58214,1.25748,0.6143,0.90571,0,3.49737e-05,3.49737e-05,3.49737e-05
100,2615.47,0.53269,1.04283,0.51052,0.93145,0,0.95717,0.72415,0.79366,0.65122,0.94158,0.72047,0.78972,0.62402,0.57699,1.25328,0.62009,0.9029,0,1.83203e-05,1.83203e-05,1.83203e-05
